date,acquirer,issuercountrycode,displayabletxvariantcode,txvariantcode,bin,amount,currency,eur_amount,shopperinteraction,cardverificationcodesupplied,state,cardid,emailid,shopperipid,shopperreferenceid
10/8/15 16:23,43992,GB,visa,visadebit,465950,129,GBP,175.9,Ecommerce,TRUE,Authorised,6203,47293,4,10
10/24/15 12:29,43991,GB,mc,mccredit,542011,68,GBP,93.95,Ecommerce,TRUE,Authorised,992,7070,15,11
9/30/15 16:58,43991,FR,mc,mccredit,513106,192,EUR,192.08,Ecommerce,TRUE,Chargeback,21598,35431,8,20120
10/16/15 21:16,43992,GB,visa,visadebit,465942,111,GBP,150.58,Ecommerce,TRUE,Authorised,20604,19599,12,12
9/21/15 21:47,32891,LY,visa,visadebit,426871,89,GBP,123.69,Ecommerce,TRUE,Refused,44478,13002,15,22096
10/15/15 22:29,43992,FR,visa,visadebit,497874,67,EUR,67.44,Ecommerce,TRUE,Chargeback,6717,36211,2,3373
9/30/15 09:12,43992,GB,visa,visadebit,454313,26,GBP,35.93,Ecommerce,TRUE,Authorised,52663,47644,5,13
9/27/15 11:43,43992,GB,visa,visadebit,465858,32,GBP,43.94,Ecommerce,TRUE,Authorised,44636,25974,1,14
9/22/15 10:48,43992,GB,visa,visaclassic,454638,36,GBP,50.85,Ecommerce,TRUE,Authorised,39875,43611,2,16
10/11/15 17:56,43992,GB,visa,visadebit,465859,68,GBP,93.49,Ecommerce,TRUE,Authorised,50785,45945,2,17
10/21/15 14:12,43991,FR,mc,mccredit,513272,76,EUR,76.19,Ecommerce,TRUE,Chargeback,1280,11047,12,19937
10/18/15 12:31,43992,GB,visa,visadebit,492181,31,GBP,42.41,Ecommerce,TRUE,Authorised,17769,14293,9,19
10/23/15 21:25,43992,GB,visa,visadebit,465942,26,GBP,36.22,Ecommerce,TRUE,Authorised,21560,42530,13,21
10/11/15 15:10,43992,FR,visa,visagold,497202,81,EUR,81.27,Ecommerce,TRUE,Refused,21621,13003,1,22097
9/30/15 09:51,43992,GB,visa,visadebit,465943,250,GBP,340.55,Ecommerce,TRUE,Authorised,12289,19599,9,12
10/12/15 18:48,43992,GB,visa,visaplatinum,492910,34,GBP,47.16,Ecommerce,TRUE,Authorised,39362,31716,12,18
